selling_price,year
175000,2019
45000,2017
150000,2018
65000,2015
20000,2011
18000,2010
78500,2018
180000,2008
30000,2010
50000,2016
35000,2015
28000,2016
80000,2018
365000,2019
185000,2020
25000,2012
25000,2006
40000,2010
150000,2018
120000,2018
15000,2008
26000,2016
32000,2013
180000,2019
110000,2016
25000,2012
80000,2018
42000,2017
40000,2013
21000,2009
55000,2017
38000,2013
43000,2016
65000,2018
62000,2019
60000,2018
45000,2018
120000,2016
30000,2011
90000,2015
125000,2017
50000,2018
175000,2017
28000,2012
85000,2018
29900,2016
25000,2011
30000,2009
60000,2018
35000,2012
25000,2010
30000,2015
90000,2010
35000,2015
70000,2019
25000,2006
25000,2010
90000,2014
25000,2013
42000,2011
35000,2015
50000,2014
30000,2015
48000,2016
65000,2016
85000,2013
45000,2014
34000,2014
90000,2008
35000,2012
165000,2017
35000,2013
65000,2015
29500,2013
165000,2019
95000,2018
50000,2010
7500,2009
25000,2008
35000,2014
160000,2018
50000,2014
62000,2019
30000,2013
28000,2015
25000,2009
30000,2015
140000,2018
30000,2017
25000,2014
22000,2010
22989,2012
42000,2016
30000,2010
55000,2015
45000,2018
150000,2019
42000,2015
30000,2015
